          50          50
    144.000       -66.3000        .317956E-03
    146.000       -66.3000        .352352E-03
    148.000       -66.3000        .381141E-03
    150.000       -66.3000        .403474E-03
    152.000       -66.3000        .418716E-03
    154.000       -66.3000        .426443E-03
    156.000       -66.3000        .426443E-03
    158.000       -66.3000        .418716E-03
    160.000       -66.3000        .403474E-03
    162.000       -66.3000        .381141E-03
    164.000       -66.3000        .352352E-03
    166.000       -66.3000        .317956E-03
    168.000       -66.3000        .279012E-03
    170.000       -66.3000        .236791E-03
    172.000       -66.3000        .192778E-03
    174.000       -66.3000        .148668E-03
    176.000       -66.3000        .106368E-03
    178.000       -66.3000        .679981E-04
    180.000       -66.3000        .358891E-04
    182.000       -66.3000        .125845E-04
    184.000       -66.3000        .839484E-06
    186.000       -66.3000        .000000    
    188.000       -66.3000        .000000    
    190.000       -66.3000        .000000    
    192.000       -66.3000        .000000    
    194.000       -66.3000        .000000    
    196.000       -66.3000        .000000    
    198.000       -66.3000        .000000    
    200.000       -66.3000        .000000    
    202.000       -66.3000        .000000    
    204.000       -66.3000        .000000    
    106.000       -62.9000        .000000    
    108.000       -62.9000        .000000    
    110.000       -62.9000        .000000    
    112.000       -62.9000        .000000    
    114.000       -62.9000        .000000    
    116.000       -62.9000        .000000    
    118.000       -62.9000        .000000    
    120.000       -62.9000        .000000    
    122.000       -62.9000        .000000    
    124.000       -62.9000        .278223E-05
    126.000       -62.9000        .201350E-04
    128.000       -62.9000        .506720E-04
    130.000       -62.9000        .914264E-04
    132.000       -62.9000        .139643E-03
    134.000       -62.9000        .192778E-03
    136.000       -62.9000        .248501E-03
    138.000       -62.9000        .304691E-03
    140.000       -62.9000        .359443E-03
    142.000       -62.9000        .411059E-03
    144.000       -62.9000        .458057E-03
    146.000       -62.9000        .499165E-03
    148.000       -62.9000        .533322E-03
    150.000       -62.9000        .559683E-03
    152.000       -62.9000        .577610E-03
    154.000       -62.9000        .586679E-03
    156.000       -62.9000        .586679E-03
    158.000       -62.9000        .577610E-03
    160.000       -62.9000        .559683E-03
    162.000       -62.9000        .533323E-03
    164.000       -62.9000        .499165E-03
    166.000       -62.9000        .458057E-03
    168.000       -62.9000        .411059E-03
    170.000       -62.9000        .359443E-03
    172.000       -62.9000        .304692E-03
    174.000       -62.9000        .248501E-03
    176.000       -62.9000        .192778E-03
    178.000       -62.9000        .139643E-03
    180.000       -62.9000        .914264E-04
    182.000       -62.9000        .506720E-04
    184.000       -62.9000        .201350E-04
    186.000       -62.9000        .278227E-05
    188.000       -62.9000        .000000    
    190.000       -62.9000        .000000    
    192.000       -62.9000        .000000    
    194.000       -62.9000        .000000    
    196.000       -62.9000        .000000    
    198.000       -62.9000        .000000    
    200.000       -62.9000        .000000    
    202.000       -62.9000        .000000    
    204.000       -62.9000        .000000    
    106.000       -59.5000        .000000    
    108.000       -59.5000        .000000    
    110.000       -59.5000        .000000    
