 ktime
  59
tt,s ipl,A rmag,m zmag,m a,m k95 dlt95 li q95 tau,s ne_19,m-3 te0,eV 
  2.190e+000   1.998e+006   1.559e+000   6.911e-002   6.440e-001   1.813e+000   3.714e-001  7.937e-001   4.171e+000   1.670e-001   5.000e+019   1.725e+003 
  2.240e+000   1.999e+006   1.559e+000   6.672e-002   6.439e-001   1.813e+000   3.718e-001  7.982e-001   4.174e+000   1.673e-001   5.000e+019   1.731e+003 
  2.290e+000   1.999e+006   1.559e+000   6.477e-002   6.439e-001   1.814e+000   3.731e-001  8.027e-001   4.179e+000   1.677e-001   5.000e+019   1.741e+003 
  2.340e+000   1.998e+006   1.559e+000   6.394e-002   6.439e-001   1.814e+000   3.739e-001  8.067e-001   4.185e+000   1.679e-001   5.000e+019   1.735e+003 
  2.390e+000   1.998e+006   1.559e+000   6.155e-002   6.438e-001   1.814e+000   3.752e-001  8.098e-001   4.184e+000   1.681e-001   5.000e+019   1.739e+003 
  2.440e+000   1.998e+006   1.559e+000   5.970e-002   6.439e-001   1.813e+000   3.758e-001  8.129e-001   4.185e+000   1.688e-001   5.000e+019   1.742e+003 
  2.490e+000   1.998e+006   1.559e+000   5.784e-002   6.439e-001   1.813e+000   3.766e-001  8.154e-001   4.184e+000   1.690e-001   5.000e+019   1.747e+003 
  2.540e+000   1.998e+006   1.560e+000   5.587e-002   6.441e-001   1.813e+000   3.779e-001  8.184e-001   4.192e+000   1.693e-001   5.000e+019   1.740e+003 
  2.590e+000   1.998e+006   1.560e+000   5.459e-002   6.439e-001   1.814e+000   3.782e-001  8.203e-001   4.191e+000   1.695e-001   5.000e+019   1.743e+003 
  2.640e+000   1.998e+006   1.559e+000   5.325e-002   6.437e-001   1.814e+000   3.786e-001  8.224e-001   4.189e+000   1.696e-001   5.000e+019   1.747e+003 
  2.690e+000   1.998e+006   1.559e+000   5.226e-002   6.435e-001   1.814e+000   3.785e-001  8.240e-001   4.186e+000   1.696e-001   5.000e+019   1.751e+003 
  2.740e+000   1.998e+006   1.559e+000   5.088e-002   6.434e-001   1.814e+000   3.781e-001  8.258e-001   4.184e+000   1.698e-001   5.000e+019   1.756e+003 
  2.790e+000   1.998e+006   1.560e+000   4.898e-002   6.433e-001   1.814e+000   3.781e-001  8.277e-001   4.190e+000   1.699e-001   5.000e+019   1.749e+003 
  2.840e+000   1.997e+006   1.560e+000   4.836e-002   6.432e-001   1.815e+000   3.782e-001  8.293e-001   4.191e+000   1.702e-001   5.000e+019   1.748e+003 
  2.890e+000   1.998e+006   1.560e+000   4.855e-002   6.436e-001   1.814e+000   3.782e-001  8.300e-001   4.191e+000   1.706e-001   5.000e+019   1.747e+003 
  2.940e+000   1.998e+006   1.560e+000   4.777e-002   6.434e-001   1.814e+000   3.781e-001  8.309e-001   4.187e+000   1.706e-001   5.000e+019   1.753e+003 
  2.990e+000   1.998e+006   1.560e+000   4.680e-002   6.435e-001   1.815e+000   3.772e-001  8.320e-001   4.193e+000   1.708e-001   5.000e+019   1.751e+003 
